row_id,column,backend_value,proposed_value,sources,recommendation,decision
,,,,,"proposed: '177000'. Baseline row (HD Hyundai Samho / BW LNG, 13-May-2026) carries Capacity 174000. PortNews (citing BW Group's own fleet list) says the two hulls (H8358/H8359) are 177,000-cbm, three-tank design - a new layout ('the sector's first large LNG carriers with three cargo tanks rather than the conventional four-tank layout'), not the standard 174,000cbm/4-tank spec. Also corroborated by LNG Prime and Ships Monthly headlines (not separately verified here, PortNews alone passes the value-corroboration gate for both BW LNG and 177000). refs: https://en.portnews.ru/news/391499/",hold
,,,,,"proposed: '177000'. Same order as row 1168 (2-vessel BW LNG contract, 13-May-2026, HD Hyundai Samho) - see that entry's note. Both hulls (H8358, H8359) are 177,000cbm per BW Group's fleet list. refs: https://en.portnews.ru/news/391499/",hold
,,,,,"proposed: None. FLAG ONLY, no proposed replacement value. Baseline row (Samsung HI / MISC FSRU, 04-May-2026) carries Price 330000000 ($330M). Businesskorea, same exact contract date (04-May-2026), same yard, same vessel type (LNG-FSRU), reports 484.8 billion won ($353.59M) for 'an Asian shipowner' (MISC is Malaysian = Asian, consistent with baseline's named owner). The date/yard/type match is exact, but the price figures differ by ~$24M and Businesskorea does not name MISC, so I cannot be fully certain these are the same disclosure rather than two separate FSRU orders on the same day. Surfacing the discrepancy for human review rather than proposing a value - not confident enough to call it a correction. refs: https://www.businesskorea.co.kr/news/articleView.html?idxno=268910",hold
,,,,,"proposed: 'Hull numbers now assigned by Jiangnan/CSB: H2954 (delivery 2029-05), H2955 (delivery 2029-10), H2956 (delivery 2030-04), H2957 (delivery 2030-08)'. Baseline rows 1182-1185 ('Jiangnan (COSCO 1)'..'(COSCO 4)') currently have blank hull/IMO columns and a single blanket 'Delivery year' of 2029-2030. CSB now shows 4 distinct hulls (H2954/H2955/H2956/H2957) each with its own delivery month, confirming the 4-vessel count and giving per-hull delivery granularity. I could NOT determine with confidence which specific live_row (1182/1183/1184/1185) maps to which hull number -- CSB and the press reports do not name owner sub-entities per hull, so a human should do the 1:1 hull assignment before writing these into the backend. Also worth noting: press (LNG Prime, TradeWinds, imarinenews) consistently name the shipowner as 'COSCO Shipping Energy Transportation' (via subsidiary Shanghai LNG / Yuanhai LNG Investment), fuller than the baseline's plain 'COSCO' -- https://lngprime.com/asia/cosco-shipping-shell-and-jiangnan-seal-deal-for-four-lng-carriers/190531/ and https://www.tradewindsnews.com/gas/cosco-shipping-orders-four-lng-carriers-at-jiangnan-in-near-billion-dollar-deal/2-1-1998532 corroborate 'COSCO Shipping Energy Transportation' and the $952.7m / CNY6.445bn total price (consistent with baseline's 238000000 x 4 = 952,000,000, not a contradiction). refs: http://www.chinashipbuild.com/ship.aspx?pklujyukkpp4JsCJsanmkhTk8Pl4EN, http://www.chinashipbuild.com/ship.aspx?pklujyukkpp4JsCJCanmkhTk8Pl4EN, http://www.chinashipbuild.com/ship.aspx?pklujyukkpp4JsCJBanmkhTk8Pl4EN, http://www.chinashipbuild.com/ship.aspx?pklujyukkpp4JsCJbanmkhTk8Pl4EN",hold
,,,,,"proposed: 'Mitsui O.S.K. Lines'. Baseline lists all 17 Mozambique LNG proposed rows (live_row 1187-1203) with shipowner 'MOL, NYK'. Per-Il 17-Jul-2026 report (translating TradeWinds), of HD Hyundai Samho's 9 reserved slots, 5 are allocated to Mitsui O.S.K. Lines (MOL spelled out) and 4 to Kawasaki Kisen Kaisha (see next entry) -- Kawasaki Kisen Kaisha does not appear anywhere in baseline's owner field for this cluster. Row-to-vessel correspondence within the 5-vessel sub-block is arbitrary/placeholder ordering on my part (article gives counts, not which specific row_id maps to which hull); human reviewer should confirm exact row assignment before applying. Confidence Y (single primary source; corroborated on the historical 9-vs-8 HD Hyundai Samho/Samsung split, but not on this specific 2026 re-confirmation, by a 2025-08-12 Club of Mozambique article -- see verification_log). refs: https://www.imarinenews.com/36960.html",hold
,,,,,"proposed: 'Kawasaki Kisen Kaisha'. New owner identity for 4 of the 9 HD Hyundai Samho-allocated Mozambique LNG slots; not present in baseline's 'MOL, NYK' owner field at all. Same row-assignment caveat as above. Confidence Y. refs: https://www.imarinenews.com/36960.html",hold
,,,,,"proposed: 'HD Hyundai Samho'. Baseline lists 'HD Hyundai Heavy Industries' as shipbuilder for these 9 rows; the 17-Jul-2026 source (and the 2025 Club of Mozambique corroborator) both name the yard as HD Hyundai Samho specifically, a distinct subsidiary yard from HD Hyundai Heavy Industries proper. Flagging as a likely correction rather than a fresh fact -- worth confirming which entity the backend intends before overwriting. Confidence Y (two sources agree on 'Samho' but neither is a yard/owner primary release). refs: https://www.imarinenews.com/36960.html",hold
,,,,,"proposed: 'NYK Line'. Of Samsung Heavy Industries' 8 reserved Mozambique LNG slots, 4 go to NYK Line (baseline already lists 'NYK' generically as one of two possible owners across all 17 rows; this narrows it to this specific 4-vessel sub-block). Confidence Y. refs: https://www.imarinenews.com/36960.html",hold
,,,,,"proposed: 'Maran Gas Maritime'. The remaining 4 of Samsung Heavy Industries' 8 slots go to Greece's Maran Gas Maritime -- an owner not present anywhere in baseline's 'MOL, NYK' field for this cluster. Caveat: a 2025-08-12 Club of Mozambique article (out of window, used only as historical corroboration -- see verification_log) states Maran Gas Maritime was at one point expected to withdraw from this allocation, with those 4 vessels reassigned to Japanese shipowners; the in-window 17-Jul-2026 source still names Maran Gas Maritime as current, so I am reporting the more recent status but flagging the withdrawal history as a reason for extra caution before applying. Confidence Y. refs: https://www.imarinenews.com/36960.html",hold
,,,,,"proposed: 'Confirmation deadline for all 17 reserved slots (still Status=proposed, no shipbuilding contract signed) extended by TotalEnergies to September 2026; delivery guidance is 2028-2029 (was originally 2023, delayed since the 2021 force majeure); per-vessel newbuild valuation has risen from the original ~$180m LOI-era estimate to ~$248.5m (Clarkson benchmark, not a contracted price -- do not use as a Price field value).'. Background/status context only, not a value+ref pair for a specific cell. No contract has been signed on any of the 17 rows -- Status remains 'proposed' per backend. Confidence Y (single in-window source). refs: https://www.imarinenews.com/36960.html",hold
