id,kind,row_id,cluster_id,column,confidence,derivable,default,decision,proposed_value,note
17|Name,fill,17,,Name,G,False,accept,accept,Rex Tillerson,"MOL naming-ceremony press release, Riviera inauguration article, VesselFinder (I"
17|Shipbuilder,fill,17,,Shipbuilder,G,False,accept,accept,Hudong-Zhonghua Shipbuilding,All four sources identify Hudong-Zhonghua Shipbuilding as the builder of Rex Til
17|Shipowner,fill,17,,Shipowner,G,False,accept,accept,MOL,"MOL press release (MOL is the owner/operator), Riviera, and Ships Monthly all na"
17|Capacity,fill,17,,Capacity,G,False,accept,accept,174000,"All four sources state 174,000 cbm capacity for Rex Tillerson."
17|Delivery year,fill,17,,Delivery year,G,False,accept,accept,2024,"MOL release (Sept 2024 naming/delivery), VesselFinder (built 2024), Riviera, and"
18|Name,fill,18,,Name,G,False,accept,accept,Umm Ghuwailina,"MOL naming-ceremony release, VesselFinder (IMO 9953250), Baird review, and Ships"
18|Shipbuilder,fill,18,,Shipbuilder,G,False,accept,accept,Hudong-Zhonghua Shipbuilding,"MOL release, Baird review, and Ships Monthly identify Hudong-Zhonghua Shipbuildi"
18|Shipowner,fill,18,,Shipowner,G,False,accept,accept,MOL,MOL press release and Ships Monthly both name MOL as owner/operator of Umm Ghuwa
18|Capacity,fill,18,,Capacity,G,False,accept,accept,174000,"All three sources state 174,000 cbm for Umm Ghuwailina."
18|Delivery year,fill,18,,Delivery year,G,False,accept,accept,2024,"MOL release (Sept 2024), VesselFinder (built 2024), Baird, and Ships Monthly all"
19|Name,fill,19,,Name,G,False,accept,accept,Hlaitan,"LNG Prime delivery article, Shipping Telegraph, VesselFinder (IMO 9953262), and "
19|Shipbuilder,fill,19,,Shipbuilder,G,False,accept,accept,Hudong-Zhonghua Shipbuilding,"LNG Prime, Shipping Telegraph, and Baird identify Hudong-Zhonghua Shipbuilding a"
19|Shipowner,fill,19,,Shipowner,G,False,accept,accept,MOL,LNG Prime and Shipping Telegraph both name MOL as a co-owner/operator chartering
19|Capacity,fill,19,,Capacity,G,False,accept,accept,174000,"LNG Prime and Baird both state 174,000 cbm for Hlaitan. (Shipping Telegraph did "
19|Delivery year,fill,19,,Delivery year,G,False,accept,accept,2024,"LNG Prime (Dec 2024 delivery), Shipping Telegraph, VesselFinder (built 2024), an"
22|Name,fill,22,,Name,G,False,accept,accept,Greenergy Ocean,"MOL naming-ceremony release, Baird review, Hellenic Shipping News, and VesselFin"
22|Shipbuilder,fill,22,,Shipbuilder,G,False,accept,accept,Hudong-Zhonghua Shipbuilding,"MOL release, Baird review, and Hellenic all identify Hudong-Zhonghua Shipbuildin"
22|Shipowner,fill,22,,Shipowner,G,False,accept,accept,MOL,"MOL release (MOL co-owns/commercially manages), Baird, and Hellenic all name MOL"
22|Capacity,fill,22,,Capacity,G,False,accept,accept,174000,"All three sources state 174,000 cbm for Greenergy Ocean."
22|Delivery year,fill,22,,Delivery year,G,False,accept,accept,2024,"MOL release (May 2024 naming), Baird, Hellenic, and VesselFinder (built 2024) al"
20|Name,fill,20,,Name,G,False,accept,accept,Huashan,4 independent domains name the vessel Huashan: LNG Prime delivery article (IMO/d
20|Shipbuilder,fill,20,,Shipbuilder,G,False,accept,accept,Hudong-Zhonghua Shipbuilding,3 independent domains state Hudong-Zhonghua Shipbuilding as builder of Huashan; 
20|Shipowner,fill,20,,Shipowner,Y,False,hold,hold,United Liquefied Gas,PARTIAL (1 domain). LNG Prime names 'United Liquefied Gas Shipping' as the order
20|Capacity,fill,20,,Capacity,G,False,accept,accept,174000,"3 independent domains state 174,000 cbm for Huashan / the series. Verified as '1"
20|Delivery year,fill,20,,Delivery year,G,False,accept,accept,2024,"LNG Prime reports delivery on May 30, 2024; VesselFinder lists Year of Build 202"
21|Name,fill,21,,Name,G,False,accept,accept,Kongtong,"4 independent domains name the vessel Kongtong: LNG Prime delivery article, Vess"
