row_id,column,backend_value,proposed_value,sources,recommendation,decision
1196/1197/1198/1199/1200,(cluster count check),,,,Backend's 5 rows fully account for the announced Petronas-charter program (3 on ~30-Jan-2026 + 2 more by ~27-Feb-2026 = 5). No indication these 5 rows are missing sister ships.,hold
(none - not in backend),n/a,,,,"Small-scale (18,700 cbm) -- out of inclusion-criteria scope, not one of the shipvault large-scale hulls. Flagging only so it is not confused with the 10-hull lead.",hold
,lead 1,,,,"Confirmed via LNG Prime (art. 179020, publ. 2026-03-02, 'MISC orders two more LNG carriers backed by Petronas charters'): MISC's Hudong-Zhonghua order tied to the PETRONAS 20-year charter totals exactly FIVE 174,000-cbm carriers (three ordered ~30-Jan-2026, two more by ~27-Feb-2026) -- this matches the backend's existing rows 1196-1200 one-for-one; no 'missing 5' on that program. The other 5 shipvault hulls (H2019A-H2023A, delivery Apr-2030 through Dec-2030) are real IMO-registered on-order hulls (owner MISC, Hudong-Zhonghua, 120000 GT) but no trade press, Bursa Malaysia filing, or Korean/Chinese source found in the time budget confirms a second MISC-Hudong newbuild tranche beyond the Petronas-linked five. Notably H2016A-H2023A (8 hulls) carry a contiguous IMO block (1180261-1180338) distinct from H2014A/H2015A (1168902/1168914), suggesting the shipvault entry may reflect IMO pre-registration for a slot/option block rather than five separately-announced firm orders -- but this is inference, not sourced fact. Also found: a SEPARATE, unrelated, small-scale MISC-Hudong order (LNG Prime art. 194247, 31-Jul-2026): one 18,700-cbm carrier for Bintulu LNG/Malaysia LNG -- out of scope (small-scale) and not one of the shipvault hulls (which are all ~120,000 GT / large-scale). Not filling hull/IMO on rows 1196-1200 because which of the 10 shipvault hulls maps to which of the 5 undifferentiated 'MISC 1..5' backend rows cannot be established from any source found -- assigning would be a guess. Recommend a targeted discovery/data-fill pass on Hudong-Zhonghua CSB orderbook + DART/Bursa filings to resolve hull-row pairing and the status of H2019A-H2023A.",hold
1218,Shipowner,,,,"shipvault alone lists hull 2803 owner as J P MORGAN; press says only ""Bermuda-based"". Shipvault owner tags were wrong for several clusters tonight, so not proposed.",hold
,lead 2,,,,"Trade press (cyprusshippingnews.com, already in backend refs for row 1218) describes the 27-May-2026 Samsung Heavy order as being with 'a Bermuda-based shipping company' for a 5-vessel package (1 LNG carrier + 2 VLGC + 2 crude tankers, ~$726m total) -- consistent with a JPMorgan-affiliated SPV (JPM shipping vehicles are commonly Bermuda/Marshall-Islands incorporated) but the press does not name JPMorgan explicitly. Could not find any trade-press article (LNG Prime, Riviera, Splash, Korean press) that names J.P. Morgan directly in the time budget. The only direct source naming the owner is shipvault.com itself, which lists owner 'J P MORGAN' for hull 2803 (IMO 1185077) -- literal text verified on the page. Proposing Shipowner = J.P. Morgan at Y confidence (single source: shipvault), corroborated circumstantially (not sourced) by the Bermuda-entity detail in press.",hold
,lead 3,,,,"LNG Prime article 188654 ('South Korea's Samsung Heavy clinches another LNG carrier order', already an existing ref on row 1227) is editorially tagged 'Purus Marine' + 'Samsung Heavy Industries' (WordPress article tags, visible even though the body is paywalled) -- this is LNG Prime's own attribution of the order to Purus, going beyond the earlier 'linked to' hedge. Corroborated directly by shipvault.com, which lists owner 'PURUS MARINE' for hull 2808 (IMO 1187609, ordered 2026-06, delivery 2029-02), matching row 1227 (Samsung HI, contract 08-Jun-2026, delivery 2029). Two independent sources (LNG Prime tag + shipvault) -> G confidence.",hold
1205,IMO number,,,,shipvault IMO fails the IMO check digit - not proposed,hold
,lead 4,,,,"Hull 2628 (IMO 1185144, shipvault ordered 2026-05, delivery 2029-09) maps to row 1219 ('Hanwha Ocean (Knutsen)', contract 29-May-2026): imarinenews.com/35664.html (already row 1219's ref) states the $250m, 174,000-cbm follow-on order for Knutsen OAS delivers 'by September 2029' -- exact month match with shipvault's 2029-9, plus the LNG Prime article dated 2026-05-29 ('Knutsen orders another LNG carrier at Hanwha Ocean') matches row 1219's contract date to the day. G confidence. Hull 2627 (IMO 1184679, shipvault ordered 2025-12, delivery 2029-06) is assigned to row 1205 ('Hanwha Ocean (Knutsen OAS 1)', contract 08-May-2026) by elimination/process of dates -- it is the only other Knutsen-Hanwha Ocean row without a hull number and its 2029 delivery year is compatible with hull 2627's 2029-06 -- but no press source states this pairing explicitly, and shipvault's 'ordered 2025-12' does not match row 1205's 08-May-2026 contract date (shipvault's order-month field appears unreliable/stale for this hull, possibly reflecting yard-slot reservation timing rather than the disclosed contract date). Y confidence only for the 2627/1205 pairing. No press found giving Equinor or another charterer, or price, for either hull specifically.",hold
67,tooling,,,,"url_verifier.py bug (worth a scripts/ fix, flagging for the user since I cannot edit scripts): _SOFT_ERROR_TITLES includes the bare substring ""500 "" intended to catch ""500 Internal Server Error"" titles, but it also matches ordinary article titles that happen to state a dollar figure like "" million"" (this one: ""DSME scores order for LNG carrier duo worth about $500 million - LNG Prime""). The page is verified live and fully readable via scripts/fetch.py. This likely affects other $400/$500/etc-million-titled articles across the repo, silently grading good URLs blocked/dead. Suggest anchoring the check to a true HTTP-error phrase (e.g. ""500 internal server error"", ""500 error"") rather than the bare token ""500 "".",hold
1162,Price [ref] / existing citation,,,,"Likely miscitation: this LNG Prime article (paywalled, but teaser text visible via scripts/fetch.py) reports a single-vessel Samsung order tagged ""Purus Marine"", not the 2-vessel Oceonix Services Ltd order this row is about. Confirms the earlier WebFetch-tool summary that tied this URL and a $252m/duo/27-Jan-2026 narrative to Oceonix was a hallucination -- raw fetch shows a different owner, vessel count, and date entirely. Worth a human check of whether this ref belongs on rows 1162/1163 at all.",hold
1162,"shipowner (context, not a blank)",,,,"Not proposing a change (shipowner isn't a blank field and this isn't a Price/Contract-date/etc. cell), but flagging: CSN's own body text says the order came ""from a shipping company in the Oceania region"" and its headline appears to have turned that geographic phrase into a pseudo company name ""Oceania Shipping Company."" chinashipbuild.com independently corroborates the backend's existing ""Oceonix Services Ltd"" for both hulls (2781 & 2782) with matching 174,000 cbm capacity and Jan-2026 order month, so Oceonix looks correct and CSN's headline looks like an auto-summary artifact -- flagging only so a human isn't confused by the mismatch if they read CSN directly.",hold
197,Delivery year,,,,"Backend lists Hull 3441 (row 197 / live row 898) delivery_year as 2026, but both the NYK press release (20230516_03, which frames Hull 3441 alongside sister Hulls 3442-3444 all delivering 2027) and its shipvault_lead (built: 2027) indicate 2027. Possible backend value discrepancy - flagging for human review, not auto-corrected.",hold
25|26|27,shipvault_lead data quality,,,,"shipvault_lead for rows 25/26/27 (samsung|sinokor cluster) points to TMS Cardiff Gas Ltd-owned vessels ATLANTIC/MEDITERRANEAN/CARIBBEAN SUCCESS, capacity 180,000 cbm, ordered 2019-02-01 - inconsistent with these rows' actual Sinokor Maritime ownership and 174,000 cbm capacity. Treated as an unreliable lead, not used.",hold
136|138|140|142,shipvault_lead data quality,,,,"shipvault_lead for the hanwha-ocean|glovis cluster rows points to ORYX LNG-owned vessels (AL GHAFAT etc.), yard numbers 2593-2596 (vs these rows' Hull 2693-2696) and null capacity - inconsistent with the rows' actual K Line/Hyundai Glovis ownership and 174,000 cbm capacity. Treated as unreliable, not used.",hold
137|144|147,shipvault_lead data quality,,,,"shipvault_lead for rows 137/144/147 (samsung|misc cluster) points to Nakilat Shipping Qatar Ltd-owned vessel TH'AILIB, capacity 180,000 cbm - inconsistent with these rows' actual MISC ownership and 174,000 cbm capacity. Treated as unreliable, not used.",hold
201,Operator/charterer (owner attribution),,,,"Flagging for awareness only, not proposing a change: the press source treats the Dynagas attribution as unconfirmed at time of writing (Jan-2023), even though shipvault (and the backend) already assign these hulls to Dynagas Ltd with names 'Clean Astraeus'/'Clean Azeus' consistent with Dynagas's 'Clean' naming convention - the naming convention itself is fairly strong corroboration, so this is a low-concern note rather than a suspected error.",hold
666 / 1144,whole row (likely duplicate),,,,"ALARMING - these two row_ids appear to be the SAME physical vessel entered twice under different names/row_ids (identical IMO 1132941, identical contract date). Recommend a human dedupe pass: likely 'Hanwha Philly 1' (666) and 'Hanwha Philly SY Philadelphia 2608' (1144) should be merged into one row before more data-fill effort is spent on either. I did not merge or drop either row myself (out of scope for a data-fill worker) - only proposing fills that are safe regardless of which row_id survives.",hold
667 / 1145,whole row (possible duplicate with IMO mismatch),,,,"Same contract date and same owner/yard/programme as the confirmed duplicate pair above (666/1144), which strongly suggests 667 and 1145 are also the same vessel (the second Hanwha Philly option hull, per gcaptain.com: Hanwha Shipping exercised its option for a second LNG carrier). But the IMO numbers differ (1142788 vs 1140792), so this could instead be a data-entry typo in one of the two row_ids rather than two genuinely different ships (a web search found only ONE additional/option LNG carrier reported, not two, which favors 'typo' over 'two real ships'). Flagging for human review rather than guessing which IMO is correct.",hold
476,Delivery year vs contract-date source,,,,"Minor inconsistency, not necessarily an error - shipbuilding delivery estimates from the order announcement often slip or are later firmed up differently by the yard/shipvault; 2026 vs 2027 is a one-year gap worth a human sanity check but not itself grounds to reject the contract-date fill I proposed (the contract date match on 'Tuesday'/2-May-2023 plus capacity/shipbuilder/owner is solid).",hold
666,shipvault_lead sanity check,,,,This shipvault_lead appears to be a bad IMO match for row 666 (possibly the wrong ship was linked centrally by the IMO-fill script). Not used for anything in this cluster; flagging so the centralized shipvault/IMO fill can be checked separately.,hold
258/259/260 vs 270/271/272/275,Program/charterer attribution (two DIFFERENT MOL/Hudong-Zhonghua programs in one cluster),,,,"Not alarming, just worth flagging for whoever reviews this batch: do not assume all 16 rows share one contract date/price/charterer just because they're clustered together by yard+owner. The fills above are scoped precisely to each sub-batch's matching source.",hold
