id,kind,row_id,cluster_id,column,confidence,derivable,default,decision,proposed_value,note
1077|Shipowner country/area,fill,1077,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
1078|Shipowner country/area,fill,1078,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
789|Shipowner country/area,fill,789,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
1081|Shipowner country/area,fill,1081,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
697|Shipowner country/area,fill,697,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'hyundai lng shipping'
971|Shipowner country/area,fill,971,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
968|Shipowner country/area,fill,968,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
974|Shipowner country/area,fill,974,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
726|Shipowner country/area,fill,726,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
979|Shipowner country/area,fill,979,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
727|Shipowner country/area,fill,727,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
696|Shipowner country/area,fill,696,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'hyundai lng shipping'
688|Shipowner country/area,fill,688,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'hyundai lng shipping'
689|Shipowner country/area,fill,689,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'hyundai lng shipping'
693|Shipowner country/area,fill,693,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'hyundai lng shipping'
780|Shipowner country/area,fill,780,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
1082|Shipowner country/area,fill,1082,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'capital'
1083|Shipowner country/area,fill,1083,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'capital'
946|Shipowner country/area,fill,946,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
975|Shipowner country/area,fill,975,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
1046|Shipowner country/area,fill,1046,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'sk shipping'
416|Shipowner country/area,fill,416,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
453|Shipowner country/area,fill,453,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
970|Shipowner country/area,fill,970,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
980|Shipowner country/area,fill,980,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
332|Shipowner country/area,fill,332,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
973|Shipowner country/area,fill,973,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
1014|Shipowner country/area,fill,1014,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
698|Shipowner country/area,fill,698,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
768|Shipowner country/area,fill,768,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
870|Shipowner country/area,fill,870,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
1015|Shipowner country/area,fill,1015,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
