id,kind,row_id,cluster_id,column,confidence,derivable,default,decision,proposed_value,note
347|Status,fill,347,,Status,G,False,accept,accept,scrapped,"splash247.com (2025-07-28): ""Multiple broking sources report Abu Dhabi’s Adnoc L"
642|Status,fill,642,,Status,G,False,accept,accept,scrapped,"splash247.com (2025-07-28): ""Multiple broking sources report Abu Dhabi’s Adnoc L"
968|Status,fill,968,,Status,G,False,accept,accept,scrapped,"tradewindsnews.com (2025-10-16): ""Malaysian shipowner MISC has agreed to sell tw"
974|Status,fill,974,,Status,G,False,accept,accept,scrapped,"tradewindsnews.com (2025-10-16): ""Malaysian shipowner MISC has agreed to sell tw"
696|Status,fill,696,,Status,G,False,accept,accept,scrapped,"lngprime.com (2025-05-26): ""Several brokers reported that Hyundai LNG Shipping s"
675|Status,fill,675,,Status,G,False,accept,accept,scrapped,"gcaptain.com (n.d.): ""The vessel involved, Rasi (IMO 9176008), is the former HL "
677|Status,fill,677,,Status,G,False,accept,accept,scrapped,"marineinsight.com (2025-05-27): ""Another two LNG carriers, HL Ras Laffan and HL "
688|Status,fill,688,,Status,G,False,accept,accept,scrapped,"marineinsight.com (2025-05-27): ""The ships include Hyundai Aquapia and Hyundai T"
689|Status,fill,689,,Status,G,False,accept,accept,scrapped,"lloydslist.com (2025-07-14): ""The 138,000 cu m Hyundai Cosmopia has been sold to"
780|Status,fill,780,,Status,G,False,accept,accept,scrapped,"lloydslist.com (2025-09-15): ""The 2000-built LNG Jamal has been purchased by Ind"
1082|Status,fill,1082,,Status,G,False,accept,accept,scrapped,"shippingherald.com (2025-09-01): ""According to broker reports, Capital Gas Carri"
1083|Status,fill,1083,,Status,G,False,accept,accept,scrapped,"tradewindsnews.com (2025-03-12): ""Pictured in its earlier years, the 137,489-cbm"
1000|Status,fill,1000,,Status,G,False,accept,accept,scrapped,"tradewindsnews.com (2025-12-01): ""Brokers said the 138,423-cbm Seapeak Asia (ex-"
534|Status,fill,534,,Status,G,False,accept,accept,scrapped,"lloydslist.com (2025-03-31): ""The 2004-built steam-powered LNG carrier Dukhan an"
970|Status,fill,970,,Status,G,False,accept,accept,scrapped,"tradewindsnews.com (2026-03-17): ""Malaysian shipowner MISC has chosen to scrap t"
980|Status,fill,980,,Status,G,False,accept,accept,scrapped,"tradewindsnews.com (2026-03-17): ""TradeWinds has learned that cash buyers have b"
1005|Status,fill,1005,,Status,G,False,accept,accept,scrapped,"tradewindsnews.com (2026-01-26): ""Brokers and those following the vessel said th"
973|Status,fill,973,,Status,G,False,accept,accept,scrapped,"tradewindsnews.com (2026-03-17): ""TradeWinds has learned that cash buyers have b"
969|Vessel type,fill,969,,Vessel type,G,False,accept,accept,FSU,miscgroup.com (2023-10-31 (per contemporaneous LNG Prime coverage; MISC's own pa
